Jabin T.,2022
Divya Jose,2021
Sona Stanly,2021
Nisha T. P.,2021
Dileep P.,2020
Venugopal B,2020
Dhanya Vijayan,2019
Remya Suresh,2019
Neethu P M,2019
Ajekwene K K ,2019
Jisha Pillai,2019
Abhitha K,2018
Neena George,2018
Muralidharan M N,2018
Molice Thomas,2018
Anju V P,2018
Neena George,2018
Shadiya M A,2018
Sreedevi P G,2018
Julie Chandra C S,2018
Nishad K M,2018
Aiswarya E P,2017
Tresa Sunitha George,2017
Resmi V C,2016
Teena Thomas,2016
Sobha A P,2016
 Jose Sebastian,2016
Abhilash G,2016
Dennymol P V,2016
Sreejesh P R,2016
Renju V S,2016
Jolly  V Antony,2016
Anjana R,2015
Asha Krishnan K,2015
Jenish Paul,2015
Sona Narayanan K,2015
Praseetha P Nair,2015
Bipinbal P.K.,2014
"Ajalesh B, Nair",2014
Nisha Nandakumar,2014
Sasidharan K,2014
Preetha Nair K,2014
Saisy K. Esthappan,2013
Jayalatha Gopalakrishnan G.,2013
Vidya Francis,2013
Vidya G.,2013
D.S. Pramila Devi,2013
Zeena P. Hamza,2013
Anna Dilfi K.F.,2012
Nimmy K.P.,2012
Newly Joseph,2012
Parameswaran P.S.,2011
Leny Mathew,2010
Suma K.K.,2010
Sinto Jacob,2010
Bhuwaneswary M.G.,2010
Jude Martin Mendez,2010
Vijayalekshmi V.,2010
Ansu Jacob,2009
Mary Alexander,2009
Saritha Chandran,2009
Raju P.,2009
Dhanya R.,2009
Renjanadevi B.,2009
Lity Alen Varghese,2008
Sunil Jose T.,2008
K.S. Maya,2008
Aswathy K.V.,2008
Priya Viswanath,2008
Joshy.M.K,2008
Prema.K.H.,2008
Sreenivasan.P.V.,2008
Lakshmi.K.,2008
Nisha V.S,2007
Rinku Mary Thomas,2007
Mundan Kurian Chummar Sunny,2007
Lovely Mathew P.,2007
Anoop Anand K.,2007
Mary Lubi C.,2007
Thomas N. Abraham,2006
Lakshmikuttyamma B.,2006
Unnikrishnan K.P,2006
A. Seema,2005
Honey John,2004
Nelson P.A,2004
Benny Cherian A.,2004
Sulekha P.B,2003
Susamma A.P.,2003
Rajalakshmi S.,2003
Shiny Palatty,2003
Solomon M.A.,2003
Thommachan Xavier,2003
Mary Kurian,2003
Princy K.G.,2003
Jacob Samuel,2003
Ushamani. M.,2003
Sheelakumari Isac,2002
V.Nandan,2001
Sreeja T.D,2001
Neetha John,2000
Joseph Francis P.J.,1999
Srilathakutty R,1999
Lynta Job,1999
Mary Joseph,1998
Fathimathul Suhara P.P.,1998
Ganapathy Rajendran,1997
Balakrishnan K.V,1997
Cyriac Mathew,1997
Job Kuriakose,1997
Shanti A . Aurah,1996
V. Boothalingam Pillai,1996
Laliamma Jose,1996
Madhu G.,1995
Reena Susan George,1995
Ashalatha P.V,1995
Joy Mathew,1993
Philip Kurian,1993
Jayamma Francis,1992
Daniel Abraham,1992
Suma N.,1992
George Mathew,1990
T.P. Antony,1990
T. Raveendran,1989
Rani Joseph,1988
K.E. George,1987