Event,Date,Event Data
Special lecture on Research Methodology,30.03.2017,"<div class=""button-container d-flex d-md-inline-flex flex-column gap-4 justify-content-center pb-4 mt-4""> <a class=""btn content-button"" href=""https://www.dropbox.com/s/f8thi2qp9z0g7sb/3.3.2%20SAP%20seminar%2030.3.2017.doc?dl=0"" role=""button"" target=""_blank"">Event Data</a>"
Seminar on Lab Safety Practices,17.01.2018,"<div class=""button-container d-flex d-md-inline-flex flex-column gap-4 justify-content-center pb-4 mt-4""> <a class=""btn content-button"" href=""https://www.dropbox.com/s/hfervkhyi6vzw2s/1%20Lab%20safety_%20Brochure.pdf?dl=0"" role=""button"" target=""_blank"">Event Data</a>"
"National conference on ""Current Trends in Polymer Science CTPS'2018""",09.02.2018,"<div class=""button-container d-flex d-md-inline-flex flex-column gap-4 justify-content-center pb-4 mt-4""> <a class=""btn content-button"" href=""https://www.dropbox.com/s/6sbpfk571hq1d55/CTPS%2018%20-%20.pdf?dl=0"" role=""button"" target=""_blank"">Event Data</a>"
"National Workshop and Open Expo""EPOCH 19""",01.03.2019-02.03.2019,"<div class=""button-container d-flex d-md-inline-flex flex-column gap-4 justify-content-center pb-4 mt-4""> <a class=""btn content-button"" href=""https://www.dropbox.com/s/d3sy97hkz68nlwh/3.%20EPOCH%2019.pdf?dl=0"" role=""button"" target=""_blank"">Event Data</a>"
"National conference on ""Current Trends in Polymer Science CTPS'2019""",22.03.2019,"<div class=""button-container d-flex d-md-inline-flex flex-column gap-4 justify-content-center pb-4 mt-4""> <a class=""btn content-button"" href=""https://www.dropbox.com/s/daj4snqz4p77ry7/CTPS%2019.pdf?dl=0"" role=""button"" target=""_blank"">Event Data</a>"
"National conference on ""Current Trends in Polymer Science CTPS'2020""",28.02.2020,"<div class=""button-container d-flex d-md-inline-flex flex-column gap-4 justify-content-center pb-4 mt-4""> <a class=""btn content-button"" href=""https://www.dropbox.com/s/a597vq91ic1l92o/CTPS%202020.pdf?dl=0"" role=""button"" target=""_blank"">Event Data</a>"
"International Conference on Advances in Polymer Technology ""APT'21""",27.05.2021-29.05.2021,"<div class=""button-container d-flex d-md-inline-flex flex-column gap-4 justify-content-center pb-4 mt-4""> <a class=""btn content-button"" href=""https://www.dropbox.com/s/x9rzj2jkazwcly9/APT%2021.pdf?dl=0"" role=""button"" target=""_blank"">Event Data</a>"
"National conference on ""Current Trends in Polymer Science CTPS'2022""",06.05.2022-07.05.2022,"<div class=""button-container d-flex d-md-inline-flex flex-column gap-4 justify-content-center pb-4 mt-4""> <a class=""btn content-button"" href=""https://www.dropbox.com/s/lpylp2pzl55f2ze/CTPS%202022.pdf?dl=0"" role=""button"" target=""_blank"">Event Data</a>"
"Alumni Lecture Series ""Career in Industry-Expectations and Reality"" by Mr. Harish S, CEAT Tyres",25.03.2022,"<div class=""button-container d-flex d-md-inline-flex flex-column gap-4 justify-content-center pb-4 mt-4""> <a class=""btn content-button"" href=""https://www.dropbox.com/s/5dssw2uyic8r4wz/Harish%20CEAT.jpg?dl=0"" role=""button"" target=""_blank"">Event Data</a>"
"Invited talk  on ""Role of Polymer Nanocomposite Technologyin Development of products for Defence applications"" by Dr. Debdatta Ratna, DRDO",14.06.2022,"<div class=""button-container d-flex d-md-inline-flex flex-column gap-4 justify-content-center pb-4 mt-4""> <a class=""btn content-button"" href=""https://www.dropbox.com/s/722t0qbiesr3o4w/Dr.%20Debdatta%20Ratna%2C%20DRDO.jpg?dl=0"" role=""button"" target=""_blank"">Event Data</a>"